row_id,lat_deg,lon_deg,report_date,status_id,water_source,water_tech,facility_type,country_name,install_year,installer,pay,status
302099,-1.691663333333333,30.01972833333333,02/29/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
302515,-1.6773683333333331,29.936441666666664,02/23/2016,y,Protected Spring,,Improved,Rwanda,2001.0,,,
301837,-1.981976920259637,30.118488530856318,02/18/2016,n,Piped Water,Tapstand,Improved,Rwanda,2011.0,,,
301969,-1.6444939771695068,29.89228591069257,02/26/2016,y,Protected Spring,,Improved,Rwanda,2004.0,,,
302226,-1.66515,30.047425,02/23/2016,y,Protected Spring,,Improved,Rwanda,2009.0,,,
302152,1.9899,30.102879700000003,02/17/2016,n,,,,Rwanda,2006.0,,,
301661,-1.982675,30.13485,02/18/2016,n,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
302202,-1.6622832904374119,29.957999416109853,02/16/2016,n,Rainwater Harvesting,,Improved,Rwanda,2015.0,,,
302039,-1.6927683333333332,29.90930166666667,02/29/2016,y,,,,Rwanda,2015.0,,,
301493,-1.980638333333333,30.08553,02/24/2016,n,,,,Rwanda,2012.0,,,
302401,-1.7899049999999,30.100361666666004,02/24/2016,y,,,,Rwanda,2001.0,,,
302451,-1.8563900000000002,29.97517833333333,02/26/2016,y,,,,Rwanda,2012.0,,,
301526,-1.9814200000000002,30.08054,02/26/2016,n,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
302187,-1.6032533333333332,29.913891666666668,02/15/2016,n,,,,Rwanda,2015.0,,,
302110,-1.723365,30.06433,02/26/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
301777,-1.9965230361298918,30.19773276532099,02/23/2016,n,Piped Water,Tapstand,Improved,Rwanda,2011.0,,,
301846,-1.976586666666667,30.116275000000005,02/17/2016,y,Piped Water,Kiosk,Improved,Rwanda,2009.0,,,
302369,-1.7838516666666668,30.130086666666664,02/24/2016,y,Protected Spring,,Improved,Rwanda,1993.0,,,
302155,-1.7791533333333331,30.01690333333333,02/17/2016,y,Protected Spring,,Improved,Rwanda,1982.0,,,
302071,-1.6999216666666668,29.913706666666666,02/23/2016,n,,,,Rwanda,2015.0,,,
302419,-1.6299883333333332,29.950779999999998,02/16/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
301873,-1.9668816666666669,30.10952,02/17/2016,y,Piped Water,Kiosk,Improved,Rwanda,2000.0,,,
301571,-1.9877916666666668,30.10378,06/01/2013,y,,,,Rwanda,1985.0,,,
301888,-1.984006666666667,30.176336666666664,02/17/2016,n,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
301674,-1.976748333333333,30.099263333333337,02/24/2016,y,Piped Water,Tapstand,Improved,Rwanda,1992.0,,,
302120,-1.68347,30.049134999999996,02/29/2016,y,,,,Rwanda,2015.0,,,
301757,-1.968975,30.07271,02/15/2016,y,Piped Water,Tapstand,Improved,Rwanda,2005.0,,,
302414,-1.6311149999999999,29.945455,02/16/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
301543,-1.963941666666667,30.07816833333333,02/26/2016,y,Piped Water,Tapstand,Improved,Rwanda,1988.0,,,
302318,-1.79405,29.95213666666667,02/18/2016,y,,,,Rwanda,2015.0,,,
